Number,TranslatedTitle,OriginalTitle,Year,Languages,Subtitles,Rating,Country,Category,URL,Director,Writer,Actors,Length,Description,Comments,Picture
"11","Mi Amigo El Pingüino","My Penguin Friend","2024","Ing, Esp","Esp, Ing","6.7","Brazil, United States","Adventure, Drama, Family","https://www.imdb.com/title/tt8609660","David Schurmann","Kristen Lazarian, Paulina Lagudi Ulrich","Jean Reno, Adriana Barraza, Alexia Moyano, Nicolás Francella, Rochi Hernández, Pedro Urizzi, Amanda Magalhães, Juan José Garnica, Duda Galvão, Thalma de Freitas","97","Conmovedora aventura de un pingüino perdido, rescatado de un derrame de petróleo, que entabla una improbable amistad con un pescador desalentado. Su extraordinaria amistad supera incluso el vasto océano que los separa.","mNbKy0cmNjM","movies.txt_pics\movies_11.jpg"
"10","El Planeta de los Simios: Nuevo Reino","Kingdom of the Planet of the Apes","2024","Ing, Esp","Esp, Ing","6.9","United States, Australia","Action, Adventure, Drama, Sci-Fi, Thriller","https://www.imdb.com/title/tt11389872","Wes Ball","Josh Friedman, Rick Jaffa, Amanda Silver","Owen Teague, Freya Allan, Kevin Durand, Peter Macon, William H. Macy, Eka Darville, Travis Jeffery, Lydia Peckham, Neil Sandilands, Ras-Samuel","145","Muchos años después del reinado de César, un joven simio emprende un viaje que le llevará a cuestionar todo lo que le han enseñado sobre el pasado y a tomar decisiones que definirán un futuro para simios y humanos por igual.","DDWWwEiWHJw","movies.txt_pics\movies_10.jpg"
"9","Guasón 2: Folie À Deux","Joker: Folie à Deux","2024","Ing, Esp","Esp, Ing","5.2","United States, Canada","Crime, Drama, Musical, Thriller","https://www.imdb.com/title/tt11315808","Todd Phillips","Scott Silver, Todd Phillips, Bob Kane, Bill Finger, Jerry Robinson, Paul Dini, Bruce Timm","Joaquin Phoenix, Lady Gaga, Brendan Gleeson, Catherine Keener, Zazie Beetz, Steve Coogan, Harry Lawtey, Leigh Gill, Ken Leung, Jacob Lofland","138","Tras crear el caos, Arthur Fleck ha sido internado en Arkham a la espera de juicio por sus crímenes como Joker. Mientras lidia con su doble identidad, Arthur no sólo se topa con el amor verdadero, sino que también descubre la música que siempre ha estado dentro de él. Secuela de 'Joker' (2019).","hqx1NcHoiq0","movies.txt_pics\movies_9.jpg"
"8","Romper El Círculo","It Ends with Us","2024","Ing, Esp","Esp, Ing","6.5","United States","Drama, Romance","https://www.imdb.com/title/tt10655524","Justin Baldoni","Christy Hall, Colleen Hoover","Blake Lively, Justin Baldoni, Jenny Slate, Brandon Sklenar, Hasan Minhaj, Kevin McKidd, Amy Morton, Alex Neustaedter, Isabela Ferrer, Robert Clohessy","130","Lily cree haber encontrado el amor verdadero con Ryle, pero un doloroso incidente desencadena traumas del pasado, debe decidir si el amor puede sacar adelante su matrimonio. Las cosas se complican cuando su primer amor vuelve a su vida.","pzxJbIX9yMk","movies.txt_pics\movies_8.jpg"
"7","Intensa-Mente 2","Inside Out 2","2024","Ing, Esp","Esp, Ing","7.6","United States","Animation, Adventure, Comedy, Drama, Family, Fantasy","https://www.imdb.com/title/tt22022452","Kelsey Mann","Meg LeFauve, Dave Holstein, Kelsey Mann, Meg LeFauve","Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Tony Hale, Lewis Black, Phyllis Smith, Ayo Edebiri, Lilimar, Grace Lu","96","Riley, en su adolescencia, al encuentro de nuevas emociones.","9bol4Yyx9Gs","movies.txt_pics\movies_7.jpg"
"6","Hellboy: The Crooked Man","Hellboy: The Crooked Man","2024","Ing, Esp","Esp, Ing","4.5","United States, United Kingdom, Germany, Bulgaria","Action, Horror","https://www.imdb.com/title/tt26757462","Brian Taylor","Christopher Golden, Mike Mignola, Brian Taylor, Mike Mignola","Jack Kesy, Jefferson White, Adeline Rudolph, Leah McNamara, Suzanne Bertish, Joseph Marcell, Martin Bassindale, Hannah Margetson, Bogdan Haralambov, Carola Colombo","99","Sigue a Hellboy y a un agente novato del BPRD cuando se quedan varados en los Apalaches rurales de los años cincuenta. Descubren una pequeña comunidad embrujada, liderada por el Hombre Torcido.","3-B60QAmto0","movies.txt_pics\movies_6.jpg"
"5","Mi Villano Favorito 4","Despicable Me 4","2024","Ing, Esp","Esp, Ing","6.2","United States","Animation, Adventure, Comedy, Crime, Family, Sci-Fi","https://www.imdb.com/title/tt7510222","Chris Renaud, Patrick Delage","Mike White, Ken Daurio","Steve Carell, Pierre Coffin, Will Ferrell, Sofía Vergara, Chris Renaud, Dana Gaier, Madison Skyy Polan, Miranda Cosgrove, Kristen Wiig, Steve Coogan","94","Gru, Lucy, Margo, Edith y Agnes dan la bienvenida a un nuevo miembro de la familia, Gru Jr., que se empeña en atormentar a su padre. Gru se enfrenta a su nueva némesis Maxime Le Mal y su novia Valentina, y la familia se ve obligada a huir.","I0_qFoptZ4Y","movies.txt_pics\movies_5.jpg"
"4","Deadpool & Wolverine","Deadpool & Wolverine","2024","Ing, Esp","Esp, Ing","7.8","United States, United Kingdom, New Zealand, Canada","Action, Adventure, Comedy, Sci-Fi","https://www.imdb.com/title/tt6263850","Shawn Levy","Ryan Reynolds, Rhett Reese, Paul Wernick, Zeb Wells, Shawn Levy, Rob Liefeld, Fabian Nicieza, Len Wein, John Romita Sr., Herb Trimpe, Roy Thomas, Joe Simon, Jack Kirby, Frank Miller","Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen, Jon Favreau, Morena Baccarin, Rob Delaney, Leslie Uggams, Jennifer Garner","128","Nueva película de la franquicia, probablemente protagonizada por la X-Force.","UzFZR2dRsSY","movies.txt_pics\movies_4.jpg"
"3","Beetlejuice Beetlejuice","Beetlejuice Beetlejuice","2024","Ing, Esp","Esp, Ing","6.8","United States, France","Comedy, Fantasy, Horror","https://www.imdb.com/title/tt2049403","Tim Burton","Michael McDowell, Larry Wilson, Alfred Gough, Miles Millar, Seth Grahame-Smith, Alfred Gough, Miles Millar","Michael Keaton, Winona Ryder, Catherine O'Hara, Jenna Ortega, Justin Theroux, Willem Dafoe, Monica Bellucci, Arthur Conti, Nick Kellington, Santiago Cabrera","105","La secuela de la comedia Beetlejuice (1988), sobre un fantasma reclutado para ayudar a embrujar una casa.","Lrx7c3ElVks","movies.txt_pics\movies_3.jpg"
"2","Bad Boys Hasta La Muerte","Bad Boys: Ride or Die","2024","Ing, Esp","Esp, Ing","6.6","United States","Action, Adventure, Comedy, Crime, Thriller","https://www.imdb.com/title/tt4919268","Adil El Arbi, Bilall Fallah","Chris Bremner, Will Beall, George Gallo","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Núñez, Eric Dane, Ioan Gruffudd, Jacob Scipio, Melanie Liburd, Tasha Smith","115","Cuando su difunto capitán de policía es vinculado a los cárteles de la droga, los policías de Miami Mike Lowrey y Marcus Burnett se embarcan en una peligrosa misión para limpiar su nombre.","8KXy_GZZKLA","movies.txt_pics\movies_2.jpg"
"1","Alien: Romulus","Alien: Romulus","2024","Ing, Esp","Esp, Ing","7.2","United Kingdom, United States, Hungary, Australia, New Zealand, Canada","Horror, Sci-Fi, Thriller","https://www.imdb.com/title/tt18412256","Fede Alvarez","Dan O'Bannon, Ronald Shusett, Fede Alvarez, Rodo Sayagues","Cailee Spaeny, David Jonsson, Archie Renaux, Isabela Merced, Spike Fearn, Aileen Wu, Rosie Ede, Soma Simon, Bence Okeke, Viktor Orizu","119","Los jóvenes de un mundo distante deben enfrentarse a la forma de vida más espeluznante del universo.","XeVTkMkQr_s","movies.txt_pics\movies_1.jpg"
