Number,TranslatedTitle,OriginalTitle,Year,Languages,Subtitles,Rating,Country,Category,URL,Director,Producer,Actors,Length,Description,Comments,Writer,Picture
"1372","Alien Romulus","Alien: Romulus","2024","Inglés","Español","7.1","UK, USA, Hungría, Australia, Nueva Zelanda, Canadá","Terror, Sci-Fi, Thriller","https://www.imdb.com/title/tt18412256","Fede Alvarez","Fede Alvarez, Gergö Balika, Amy Byron, Elizabeth Cantillon, HoGuerrad Ellis, Adam Goodman, Walter Hill, Tom Moran, Brent O'Connor, Michael Pruss, Ridley Scott","Cailee Spaeny, David Jonsson, Archie Renaux, Isabela Merced, Spike Fearn, Aileen Wu, Rosie Ede, Soma Simon, Bence Okeke, Viktor Orizu","119","Los jóvenes de un mundo distante deben enfrentarse a la forma de vida más espeluznante del universo.","XeVTkMkQr_s","Dan O'Bannon, Ronald Shusett, Fede Alvarez, Rodo Sayagues","movies.csv_pics\movies_1372.jpg"
"1371","Amigos Imaginarios","If","2024","ING/ESP","Español","6.4","USA, Canadá","Animación, Comedia, Drama, Familia, Fantasía","https://www.imdb.com/title/tt11152168","John Krasinski","George Dewey, Andrew Form, Alexa Ginsburg, John J. Kelly, Jess Kidd, John Krasinski, Michael Lerman, Kimberly Nelson LoCascio, Ryan Reynolds, Jeff Robinson, Lori Scowley, Allyson Seeger","Cailey Fleming, Ryan Reynolds, John Krasinski, Fiona Shaw, Steve Carell, Phoebe Waller-Bridge, Louis Gossett Jr., Alan Kim, Liza Colón-Zayas, Bobby Moynihan","104","Una joven descubre la capacidad de ver a los amigos imaginarios de las personas que han sido abandonados por los niños a los que ayudaron.","suxpHwb9A3c","John Krasinski","movies.csv_pics\movies_1371.jpg"
"1370","Anora","Anora","2024","ING/ESP","Español","7.6","USA","Comedia, Drama, Romance","https://www.imdb.com/title/tt28607951","Sean Baker","Sean Baker, Glen Basner, Alex Coco, Alison Cohen, Olivia Kavanaugh, Ken Meyer, Clay Pecorin, Milan Popelka, Samantha Quan, Elizabeth Siegal","Mikey Madison, Paul Weissman, Yura Borisov, Lindsey Normington, Emily Weider, Luna Sofía Miranda, Vincent Radwinsky, Brittney Rodriguez, Sophia Carnabuci, Mark Eydelshteyn","139","Anora es una comedia sobre trabajadoras del sexo rodada tanto en el norte del estado de Nueva York como en Las Vegas.","M25Dqnr6JYE","Sean Baker","movies.csv_pics\movies_1370.jpg"
"1369","Aquí","Here","2024","ING/ESP","Español","6.3","USA","Drama","https://www.imdb.com/title/tt18272208","Robert Zemeckis","Bill Block, Andrew Golov, Lee Grumett, Derek Hogue, Jeremy Johns, Jack Rapke, Thom Zadra, Robert Zemeckis","Tom Hanks, Robin Wright, Paul Bettany, Kelly Reilly, Ellis Grunsell, Teddy Russell, Finn Guegan, Callum Macreadie, Lauren McQueen, Grace Lyra","104","Ambientada en una única habitación, sigue a las numerosas personas que la habitan a lo largo de años y años, desde el pasado hasta el futuro.","lqgtMPvVVgo","Eric Roth, Robert Zemeckis, Richard McGuire","movies.csv_pics\movies_1369.jpg"
"1368","Bad Boys Hasta La Muerte","Bad Boys: Ride or Die","2024","ING/ESP","Español","6.5","USA","Acción, Aventura, Comedia, Crimen, Thriller","https://www.imdb.com/title/tt4919268","Adil El Arbi, Bilall Fallah","Jeff J.J. Authors, Doug Belgrad, Chris Bremner, Jerry Bruckheimer, John K. Campbell, Danielle Demmerella, Susan Ehrhart, James Lassiter, Martin Lawrence, Stacy Lyles, Jon Mone, Shannon O'Neill, Chad Oman, Melissa Reid, Ryan Shimazaki, Will Smith, Mike Stenson, Marc Toberoff, Barry H. Waldman","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Núñez, Eric Dane, Ioan Gruffudd, Jacob Scipio, Melanie Liburd, Tasha Smith","115","Cuando su difunto capitán de policía es vinculado a los cárteles de la droga, los policías de Miami Mike Lowrey y Marcus Burnett se embarcan en una peligrosa misión para limpiar su nombre.","8KXy_GZZKLA","Chris Bremner, Will Beall, George Gallo","movies.csv_pics\movies_1368.jpg"
"1367","Beetlejuice Beetlejuice","Beetlejuice Beetlejuice","2024","ING/ESP","Español","6.7","USA, Francia","Comedia, Fantasía, Terror","https://www.imdb.com/title/tt2049403","Tim Burton","Tim Burton, Pete Chiappetta, Sara Desmond, Katterli Frauenfelder, Dede Gardner, Alfred Gough, Seth Grahame-Smith, Tommy Harper, David Katzenberg, Jeremy Kleiner, Andrew Lary, Miles Millar, Brad Pitt, Laurence Senelick, Natalie Testa, Anthony Tittanegro, Marc Toberoff, Larry Wilson","Michael Keaton, Winona Ryder, Catherine O'Hara, Jenna Ortega, Justin Theroux, Willem Dafoe, Monica Bellucci, Arthur Conti, Nick Kellington, Santiago Cabrera","105","La secuela de la comedia Beetlejuice (1988), sobre un fantasma reclutado para ayudar a embrujar una casa.","Lrx7c3ElVks","Michael McDowell, Larry Wilson, Alfred Gough, Miles Millar, Seth Grahame-Smith, Alfred Gough, Miles Millar","movies.csv_pics\movies_1367.jpg"
"1366","Bob Marley: La Leyenda","Bob Marley: One Love","2024","Inglés","Español","6.2","USA","Biografía, Drama, Música","https://www.imdb.com/title/tt8521778","Reinaldo Marcus Green","Dede Gardner, Richard Hewitt, Petra Holtorf-Stratton, Becca Kelly, Jeremy Kleiner, Cedella Marley, Orly Marley, Rita Marley, Ziggy Marley, Brad Pitt, Matt Solodky, Robert Teitel, Natalie Thompson, Katherine Tibbetts, Clement Virgo","Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole, Umi Myers, Anthony Welsh, Nia Ashi, Aston Barrett Jr., Anna-Share Blake, Gawaine 'J-Summa' Campbell","107","Una mirada a la vida del legendario músico de reggae Bob Marley.","a5Qa6EXwY1E","Terence Winter, Frank E. Flowers, Zach Baylin, Reinaldo Marcus Green, Terence Winter, Frank E. Flowers","movies.csv_pics\movies_1366.jpg"
"1365","Cónclave","Conclave","2024","ING/ESP","Español","7.4","UK, USA","Drama, Thriller","https://www.imdb.com/title/tt20215234","EdGuerrad Berger","Tomas Alfredson, Glen Basner, EdGuerrad Berger, Len Blavatnik, Alessandro Bonino, Ben Browning, Alison Cohen, Danny Cohen, Alice Dawson, Harry Dixon, Zoë EdGuerrads, Ralph Fiennes, Lorenzo Gangarossa, Mario Gianani, Robert Harris, Juliette Howell, Michael Jackman, Milan Popelka, Steven Rales, Paul Randle, Tessa Ross, Olivia Sleiter, Robyn Slovo, Peter Straughan, Cristina Tacchino","Ralph Fiennes, Jacek Koman, Lucian Msamati, Stanley Tucci, John Lithgow, Bruno Novelli, Thomas Loibl, Brían F. O'Byrne, Isabella Rossellini, Rony Kramer","120","Sigue al cardenal Lomeli mientras supervisa al grupo de cardenales encargados de elegir a un nuevo líder de la Iglesia, al tiempo que intenta descubrir un secreto del difunto Pontífice.","eLb0N2NmmEU","Peter Straughan, Robert Harris","movies.csv_pics\movies_1365.jpg"
"1364","Deadpool & Wolverine","Deadpool & Wolverine","2024","ING/ESP","Español","7.6","USA, UK, Nueva Zelanda, Canadá","Acción, Aventura, Comedia, Sci-Fi","https://www.imdb.com/title/tt6263850","Shawn Levy","Mitchell Bell, Louis D'Esposito, George Dewey, Kevin Feige, Wendy Jacobson, Simon Kinberg, Shawn Levy, Jonathon Komack Martin, Josh McLaglen, Mary McLaglen, Janine Modder, Rhett Reese, Ryan Reynolds, Lauren Shuler Donner, Paul Wernick","Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen, Jon Favreau, Morena Baccarin, Rob Delaney, Leslie Uggams, Jennifer Garner","128","Logan se recupera de sus heridas cuando se cruza con el bocazas, Deadpool, que ha viajado en el tiempo para curarlo con la esperanza de hacerse amigos y formar un equipo para acabar con un enemigo común.","UzFZR2dRsSY","Ryan Reynolds, Rhett Reese, Paul Wernick, Zeb Wells, Shawn Levy, Rob Liefeld, Fabian Nicieza, Len Wein, John Romita Sr., Herb Trimpe, Roy Thomas, Joe Simon, Jack Kirby, Frank Miller","movies.csv_pics\movies_1364.jpg"
"1363","El Brutalista","The Brutalist","2024","ING/ESP","Español","7.5","USA, UK, Canadá","Drama","https://www.imdb.com/title/tt8999762","Brady Corbet","Maddie Browning, Brady Corbet, Ron Curtis, Saskia Gigi Duff, Mona Fastvold, Mark Gillespie, Alexa Goldberg, Nick Gordon, D.J. Gugenheim, Jiarui Guo, Peter Hampden, Aaron Himmel, David Hinojosa, Joshua Horsfield, Pamela Koffler, Max Kondziolka, Scott Lake, Mark Lampert, Andrew Lauren, Annamária Ligosztájeva, Trevor Matthews, Norman Merry, Sarah Meyohas, Andrew Morrison, Oleg Nodelman, Michael Orcutt, Jesse Ozeri, Kelly Peck, Viktória Petrányi, Thomas Pierce, Sire Ramos, Emily Richardson, Ronald Richardson, Joseph King Salwen, Matthew Sippel, Klaudia Smieja, Carter Stanton, Kyle Stroud, Christine Vachon, Peter Vaughan, Ruby Walden, Scott Weber, Brian Young","Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy, Stacy Martin, Isaach De Bankolé, Alessandro Nivola, Ariane Labed, Michael Epp","214","Cuando el visionario arquitecto László Toth y su esposa Erzsébet huyen de la Europa de posguerra en 1947 para reconstruir su legado y ver el nacimiento de la América moderna, sus vidas cambian a causa de un misterioso y adinerado cliente.","4Ekj3otDJXM","Brady Corbet, Mona Fastvold","movies.csv_pics\movies_1363.jpg"
